id,latitude,longitude,hub_id,driver_id,num_items,created_at,started_at,completed_at,batched_order_id
1,37.793095,-122.394814,6,92,1,2014-03-04 01:30:19,2014-03-04 01:32:35,2014-03-04 01:46:08,836
2,37.7915,-122.39858,6,92,2,2014-03-04 01:30:23,2014-03-04 01:47:57,2014-03-04 01:55:12,836
3,37.762955,-122.452249,7,80,1,2014-03-04 01:30:32,2014-03-04 01:31:57,2014-03-04 01:44:45,
4,37.762865,-122.401382,1,40,1,2014-03-04 01:30:38,2014-03-04 01:31:17,2014-03-04 01:40:02,
5,37.74554,-122.43622,2,66,4,2014-03-04 01:30:51,2014-03-04 01:39:04,2014-03-04 01:46:30,
6,37.79545,-122.41122,6,67,1,2014-03-04 01:31:04,2014-03-04 01:32:23,2014-03-04 01:41:48,
7,37.790335,-122.414939,6,68,2,2014-03-04 01:31:07,2014-03-04 01:37:35,2014-03-04 01:55:05,837
8,37.773393,-122.396357,1,69,1,2014-03-04 01:31:20,2014-03-04 01:33:38,2014-03-04 01:44:27,
9,37.769765,-122.389897,1,38,3,2014-03-04 01:31:21,2014-03-04 01:32:42,2014-03-04 01:44:13,
10,37.73307,-122.44417,2,73,4,2014-03-04 01:31:31,2014-03-04 01:38:57,2014-03-04 01:55:25,
11,37.76015,-122.39043,1,100,2,2014-03-04 01:31:34,2014-03-04 01:33:13,2014-03-04 01:55:51,
12,37.794417,-122.433839,4,79,2,2014-03-04 01:31:44,2014-03-04 01:32:45,2014-03-04 01:43:57,
13,37.77607,-122.44424,5,44,1,2014-03-04 01:31:45,2014-03-04 01:32:52,2014-03-04 01:45:07,
14,37.78745,-122.41499,6,68,3,2014-03-04 01:32:01,2014-03-04 01:55:15,2014-03-04 02:02:17,837
15,37.79011,-122.4167,4,61,1,2014-03-04 01:32:13,2014-03-04 01:32:54,2014-03-04 01:50:39,
16,37.784597,-122.408516,6,83,1,2014-03-04 01:32:14,2014-03-04 01:34:47,2014-03-04 01:58:18,
17,37.7815,-122.4426,7,75,2,2014-03-04 01:32:24,2014-03-04 01:33:49,2014-03-04 01:44:22,
18,37.797295,-122.415264,4,59,1,2014-03-04 01:32:58,2014-03-04 01:33:41,2014-03-04 01:44:28,
19,37.742799,-122.424382,2,34,1,2014-03-04 01:32:59,2014-03-04 01:42:07,2014-03-04 01:51:10,
20,37.80467,-122.43604,4,81,3,2014-03-04 01:33:03,2014-03-04 01:35:33,2014-03-04 01:42:34,
21,37.73924,-122.42867,2,63,3,2014-03-04 01:33:36,2014-03-04 01:45:22,2014-03-04 01:56:16,
22,37.79156,-122.40241,6,57,1,2014-03-04 01:33:47,2014-03-04 01:41:01,2014-03-04 01:45:30,
23,37.75097,-122.40898,2,87,1,2014-03-04 01:33:54,2014-03-04 01:42:13,2014-03-04 01:52:43,
24,37.80381,-122.44702,4,78,3,2014-03-04 01:33:58,2014-03-04 01:35:07,2014-03-04 01:45:07,
25,37.80453,-122.42209,4,99,1,2014-03-04 01:34:01,2014-03-04 01:35:28,2014-03-04 01:40:22,
26,37.78191,-122.46112,7,90,1,2014-03-04 01:34:03,2014-03-04 01:40:06,2014-03-04 01:45:18,838
27,37.78449,-122.45797,7,90,3,2014-03-04 01:34:09,2014-03-04 01:47:19,2014-03-04 01:51:09,838
28,37.771097,-122.389118,1,106,2,2014-03-04 01:35:27,2014-03-04 01:35:41,2014-03-04 01:54:27,
29,37.77403,-122.395548,1,42,2,2014-03-04 01:36:10,2014-03-04 01:37:14,2014-03-04 01:52:04,
30,37.7735,-122.42228,5,49,1,2014-03-04 01:36:25,2014-03-04 01:37:14,2014-03-04 01:54:42,
31,37.79437,-122.39495,6,109,1,2014-03-04 01:37:11,2014-03-04 01:38:09,2014-03-04 01:50:08,839
32,37.769459,-122.429119,5,33,2,2014-03-04 01:37:20,2014-03-04 01:38:24,2014-03-04 01:46:58,
33,37.792249,-122.399764,6,109,1,2014-03-04 01:37:44,2014-03-04 01:53:56,2014-03-04 01:56:11,839
34,37.78792,-122.41885,4,55,1,2014-03-04 01:38:24,2014-03-04 01:42:54,2014-03-04 02:01:18,
35,37.78081,-122.39028,1,16,1,2014-03-04 01:38:31,2014-03-04 01:40:17,2014-03-04 01:53:02,
36,37.7814,-122.432485,5,30,3,2014-03-04 01:38:32,2014-03-04 01:40:08,2014-03-04 01:53:57,
37,37.786089,-122.455879,7,111,2,2014-03-04 01:38:34,2014-03-04 01:53:17,2014-03-04 02:13:18,
38,37.77506,-122.42977,5,39,1,2014-03-04 01:38:34,2014-03-04 01:40:13,2014-03-04 01:49:18,
39,37.77154,-122.44051,5,54,1,2014-03-04 01:39:21,2014-03-04 01:43:01,2014-03-04 01:51:48,840
40,37.80367,-122.4363,4,102,2,2014-03-04 01:40:19,2014-03-04 01:43:59,2014-03-04 01:51:11,
41,37.76941,-122.44411,5,54,1,2014-03-04 01:40:41,2014-03-04 01:57:30,2014-03-04 01:57:35,840
42,37.771551,-122.431128,5,48,1,2014-03-04 01:40:42,2014-03-04 01:42:16,2014-03-04 01:48:25,
43,37.77978,-122.39473,1,62,1,2014-03-04 01:41:45,2014-03-04 01:42:43,2014-03-04 01:50:41,
44,37.80197,-122.42719,4,99,1,2014-03-04 01:41:47,2014-03-04 01:46:12,2014-03-04 01:50:50,
45,37.78335,-122.438739,5,36,1,2014-03-04 01:41:56,2014-03-04 01:43:50,2014-03-04 01:56:18,
46,37.79299,-122.4022,6,93,8,2014-03-04 01:42:04,2014-03-04 01:50:20,2014-03-04 01:55:06,
47,37.79345,-122.39818,6,110,1,2014-03-04 01:42:26,2014-03-04 01:51:21,2014-03-04 02:01:16,
48,37.79783,-122.42045,4,81,3,2014-03-04 01:43:54,2014-03-04 01:49:29,2014-03-04 01:57:16,
49,37.80577,-122.41024,6,23,1,2014-03-04 01:44:19,2014-03-04 01:49:55,2014-03-04 02:02:20,
50,37.77792,-122.39603,1,46,2,2014-03-04 01:45:35,2014-03-04 01:46:34,2014-03-04 01:53:47,
51,37.79156,-122.40241,6,57,3,2014-03-04 01:46:14,2014-03-04 01:53:55,2014-03-04 01:59:39,842
52,37.777719,-122.39578,1,40,1,2014-03-04 01:46:38,2014-03-04 01:47:40,2014-03-04 01:52:33,
53,37.764934,-122.400244,1,69,1,2014-03-04 01:46:50,2014-03-04 01:57:26,2014-03-04 02:06:38,843
54,37.74094,-122.41822,2,50,4,2014-03-04 01:47:15,2014-03-04 01:54:58,2014-03-04 02:05:12,
55,37.764934,-122.400244,1,38,10,2014-03-04 01:48:06,2014-03-04 01:54:22,2014-03-04 02:04:07,
56,37.789042,-122.417596,4,79,2,2014-03-04 01:48:13,2014-03-04 01:50:31,2014-03-04 02:03:35,
57,37.78283,-122.39332,1,100,1,2014-03-04 01:48:49,2014-03-04 01:52:26,2014-03-04 02:24:16,
58,37.78226,-122.4676,7,75,2,2014-03-04 01:49:08,2014-03-04 01:53:29,2014-03-04 02:03:58,
59,37.779077,-122.436907,5,48,1,2014-03-04 01:49:38,2014-03-04 01:52:06,2014-03-04 02:01:29,
60,37.78888,-122.39869,6,57,1,2014-03-04 01:49:49,2014-03-04 01:59:42,2014-03-04 02:12:02,842
61,37.75687,-122.42177,2,66,1,2014-03-04 01:50:54,2014-03-04 01:54:19,2014-03-04 02:02:36,
62,37.764934,-122.400244,1,69,1,2014-03-04 01:53:15,2014-03-04 02:06:47,2014-03-04 02:07:44,843
63,37.79263,-122.40473,6,67,1,2014-03-04 01:53:45,2014-03-04 01:55:10,2014-03-04 02:11:52,
64,37.789,-122.4271,4,78,1,2014-03-04 01:54:37,2014-03-04 01:55:17,2014-03-04 02:05:53,
65,37.79256,-122.39724,6,109,3,2014-03-04 01:56:00,2014-03-04 01:59:57,2014-03-04 02:05:25,
66,37.73285,-122.43747,2,34,2,2014-03-04 01:57:14,2014-03-04 02:00:21,2014-03-04 02:11:40,
67,37.78285,-122.421056,5,44,1,2014-03-04 01:57:24,2014-03-04 01:59:56,2014-03-04 02:10:14,
68,37.775306,-122.400405,1,40,10,2014-03-04 01:58:00,2014-03-04 02:12:20,2014-03-04 02:24:21,
69,37.7814,-122.432485,5,33,1,2014-03-04 01:58:05,2014-03-04 01:59:11,2014-03-04 02:12:07,
70,37.8015,-122.42322,4,59,1,2014-03-04 01:58:44,2014-03-04 01:59:19,2014-03-04 02:08:57,
71,37.766671,-122.41982,5,39,1,2014-03-04 01:58:58,2014-03-04 02:00:10,2014-03-04 02:11:50,
72,37.80378,-122.40531,6,93,2,2014-03-04 01:59:09,2014-03-04 02:03:35,2014-03-04 02:16:27,
73,37.75614,-122.44323,5,49,3,2014-03-04 01:59:12,2014-03-04 02:00:47,2014-03-04 02:32:04,
74,37.775306,-122.400405,1,40,3,2014-03-04 01:59:15,2014-03-04 02:27:05,2014-03-04 02:27:07,
75,37.745181,-122.410457,2,87,1,2014-03-04 01:59:36,2014-03-04 02:01:37,2014-03-04 02:13:04,
76,37.769117,-122.446345,5,54,2,2014-03-04 01:59:55,2014-03-04 02:10:08,2014-03-04 02:15:06,844
77,37.774625,-122.389865,1,62,3,2014-03-04 02:00:27,2014-03-04 02:15:33,2014-03-04 02:29:20,
78,37.778201,-122.412212,1,46,1,2014-03-04 02:00:39,2014-03-04 02:11:05,2014-03-04 02:20:32,
79,37.798125,-122.423834,4,99,1,2014-03-04 02:01:02,2014-03-04 02:01:46,2014-03-04 02:08:27,
80,37.76899,-122.44725,5,54,2,2014-03-04 02:01:48,2014-03-04 02:15:45,2014-03-04 02:22:59,844
81,37.79279,-122.40359,6,92,3,2014-03-04 02:02:54,2014-03-04 02:04:15,2014-03-04 02:14:13,
82,37.77474,-122.42477,5,36,2,2014-03-04 02:02:57,2014-03-04 02:04:53,2014-03-04 02:06:59,
83,37.77939,-122.402281,1,106,1,2014-03-04 02:03:09,2014-03-04 02:18:04,2014-03-04 02:34:27,847
84,37.75777,-122.44115,5,30,1,2014-03-04 02:03:14,2014-03-04 02:10:46,2014-03-04 02:24:02,
85,37.76675,-122.43183,5,48,1,2014-03-04 02:03:42,2014-03-04 02:14:30,2014-03-04 02:16:25,
86,37.801729,-122.444072,4,102,1,2014-03-04 02:04:01,2014-03-04 02:04:36,2014-03-04 02:15:00,
87,37.800698,-122.433373,4,81,1,2014-03-04 02:04:27,2014-03-04 02:05:55,2014-03-04 02:10:35,
88,37.78334,-122.39397,1,42,2,2014-03-04 02:04:38,2014-03-04 02:23:36,2014-03-04 02:43:03,853
89,37.7891,-122.43972,4,61,1,2014-03-04 02:05:06,2014-03-04 02:09:34,2014-03-04 02:28:12,
90,37.801648,-122.409411,6,110,2,2014-03-04 02:05:37,2014-03-04 02:08:03,2014-03-04 02:18:41,
91,37.8026,-122.44339,4,55,2,2014-03-04 02:05:39,2014-03-04 02:12:18,2014-03-04 02:23:17,846
92,37.79097,-122.39607,6,109,2,2014-03-04 02:06:06,2014-03-04 02:27:39,2014-03-04 02:27:41,
93,37.802018,-122.42681,4,99,2,2014-03-04 02:07:05,2014-03-04 02:14:54,2014-03-04 02:18:33,
94,37.79224,-122.43113,4,59,2,2014-03-04 02:07:14,2014-03-04 02:17:43,2014-03-04 02:33:35,
95,37.78488,-122.389725,6,83,1,2014-03-04 02:07:56,2014-03-04 02:14:26,2014-03-04 02:39:17,
96,37.78938,-122.41506,6,23,1,2014-03-04 02:08:38,2014-03-04 02:12:41,2014-03-04 02:27:54,
97,37.80352,-122.44187,4,55,2,2014-03-04 02:08:44,2014-03-04 02:23:27,2014-03-04 02:29:14,846
98,37.75769,-122.40798,1,16,3,2014-03-04 02:08:57,2014-03-04 02:24:33,2014-03-04 02:39:41,850
99,37.77404,-122.43933,5,36,4,2014-03-04 02:09:01,2014-03-04 02:21:28,2014-03-04 02:28:34,
100,37.779691,-122.402077,1,106,1,2014-03-04 02:09:23,2014-03-04 02:36:36,2014-03-04 02:40:37,847
101,37.79097,-122.39607,6,109,2,2014-03-04 02:10:03,2014-03-04 02:27:46,2014-03-04 02:27:48,
102,37.7896,-122.44292,7,104,3,2014-03-04 02:11:02,2014-03-04 02:17:27,2014-03-04 02:30:09,
103,37.75471,-122.43662,2,66,2,2014-03-04 02:11:10,2014-03-04 02:13:55,2014-03-04 02:22:05,
104,37.776355,-122.397501,1,40,2,2014-03-04 02:11:16,2014-03-04 02:31:40,2014-03-04 02:37:47,
105,37.78888,-122.39869,6,67,5,2014-03-04 02:11:24,2014-03-04 02:17:51,2014-03-04 02:37:23,
106,37.76213,-122.44087,5,48,1,2014-03-04 02:11:52,2014-03-04 02:24:18,2014-03-04 02:36:43,852
107,37.79937,-122.41017,6,68,1,2014-03-04 02:11:52,2014-03-04 02:19:15,2014-03-04 02:35:30,
108,37.76027,-122.41092,1,16,2,2014-03-04 02:12:06,2014-03-04 02:39:51,2014-03-04 02:46:56,850
109,37.74161,-122.41776,2,73,3,2014-03-04 02:12:30,2014-03-04 02:15:07,2014-03-04 02:26:58,
110,37.76722,-122.42433,5,33,1,2014-03-04 02:12:35,2014-03-04 02:22:08,2014-03-04 02:28:42,
111,37.76256,-122.41285,1,69,3,2014-03-04 02:13:12,2014-03-04 02:28:13,2014-03-04 02:37:43,
112,37.77954,-122.43954,7,111,2,2014-03-04 02:13:18,2014-03-04 02:20:56,2014-03-04 02:29:36,
113,37.769407,-122.429914,5,44,1,2014-03-04 02:13:24,2014-03-04 02:21:14,2014-03-04 02:32:38,
114,37.76229,-122.43845,5,48,1,2014-03-04 02:13:27,2014-03-04 02:36:47,2014-03-04 02:46:21,852
115,37.78366,-122.39601,1,42,1,2014-03-04 02:13:36,2014-03-04 02:45:35,2014-03-04 02:50:14,853
116,37.794499,-122.394789,6,92,1,2014-03-04 02:14:04,2014-03-04 02:26:02,2014-03-04 02:42:25,
117,37.78979,-122.39877,6,57,1,2014-03-04 02:14:12,2014-03-04 02:31:05,2014-03-04 02:43:32,855
118,37.762093,-122.429105,5,39,1,2014-03-04 02:14:28,2014-03-04 02:28:35,2014-03-04 02:37:26,
119,37.79115,-122.41618,4,81,1,2014-03-04 02:14:30,2014-03-04 02:22:30,2014-03-04 02:37:14,
120,37.80294,-122.43433,4,78,2,2014-03-04 02:14:48,2014-03-04 02:26:14,2014-03-04 02:33:26,856
121,37.777055,-122.396618,1,38,1,2014-03-04 02:14:51,2014-03-04 02:36:49,2014-03-04 02:44:18,854
122,37.764077,-122.403456,1,100,2,2014-03-04 02:15:37,2014-03-04 02:34:15,2014-03-04 02:57:20,
123,37.80364,-122.41407,4,79,1,2014-03-04 02:16:17,2014-03-04 02:18:19,2014-03-04 02:32:25,
124,37.774508,-122.401372,1,46,1,2014-03-04 02:17:01,2014-03-04 02:32:43,2014-03-04 02:32:55,
125,37.74323,-122.4343,2,50,2,2014-03-04 02:17:02,2014-03-04 02:19:29,2014-03-04 02:28:02,
126,37.79707,-122.42805,4,102,2,2014-03-04 02:17:06,2014-03-04 02:24:09,2014-03-04 02:31:39,
127,37.778459,-122.391614,1,38,3,2014-03-04 02:17:08,2014-03-04 02:44:22,2014-03-04 02:50:04,854
128,37.78888,-122.39869,6,57,1,2014-03-04 02:17:18,2014-03-04 02:43:56,2014-03-04 02:49:29,855
129,37.777979,-122.445185,7,75,2,2014-03-04 02:17:21,2014-03-04 02:23:45,2014-03-04 02:34:31,
130,37.8015,-122.43082,4,78,1,2014-03-04 02:18:10,2014-03-04 02:33:29,2014-03-04 02:38:26,856
131,37.7902,-122.40548,6,23,2,2014-03-04 02:19:00,2014-03-04 02:37:03,2014-03-04 02:45:38,857
132,37.79113,-122.401183,6,23,1,2014-03-04 02:20:24,2014-03-04 02:45:42,2014-03-04 02:55:16,857
133,37.79902,-122.43542,4,78,1,2014-03-04 02:20:59,2014-03-04 02:43:14,2014-03-04 02:43:16,856
134,37.801416,-122.423836,4,99,1,2014-03-04 02:21:02,2014-03-04 02:30:07,2014-03-04 02:37:12,858
135,37.800994,-122.404681,6,93,2,2014-03-04 02:21:31,2014-03-04 02:29:55,2014-03-04 02:46:40,
136,37.79311,-122.4154,6,110,3,2014-03-04 02:21:31,2014-03-04 02:31:07,2014-03-04 02:52:40,
137,37.766628,-122.433955,5,91,2,2014-03-04 02:22:21,2014-03-04 02:30:22,2014-03-04 02:36:59,
138,37.74104,-122.41199,2,63,4,2014-03-04 02:23:02,2014-03-04 02:29:28,2014-03-04 02:44:31,859
139,37.777657,-122.412909,1,69,1,2014-03-04 02:23:19,2014-03-04 03:02:51,2014-03-04 03:06:05,868
140,37.754474,-122.423687,2,87,1,2014-03-04 02:23:22,2014-03-04 02:30:07,2014-03-04 02:36:14,
141,37.75784,-122.41788,2,34,1,2014-03-04 02:24:10,2014-03-04 02:32:15,2014-03-04 02:45:27,862
142,37.773248,-122.450942,7,90,1,2014-03-04 02:24:23,2014-03-04 02:26:53,2014-03-04 02:32:48,
143,37.80157,-122.42265,4,99,2,2014-03-04 02:24:31,2014-03-04 02:37:15,2014-03-04 02:40:27,858
144,37.794499,-122.394789,6,109,5,2014-03-04 02:24:54,2014-03-04 02:31:11,2014-03-04 02:50:34,
145,37.77193,-122.433776,5,54,1,2014-03-04 02:25:08,2014-03-04 02:32:14,2014-03-04 02:37:25,
146,37.73766,-122.41092,2,63,1,2014-03-04 02:25:20,2014-03-04 02:44:43,2014-03-04 02:50:53,859
147,37.777131,-122.393289,1,62,2,2014-03-04 02:25:21,2014-03-04 02:48:05,2014-03-04 03:02:28,863
148,37.75245,-122.42749,2,66,1,2014-03-04 02:26:04,2014-03-04 02:31:38,2014-03-04 02:39:25,
149,37.753797,-122.443146,2,50,2,2014-03-04 02:26:07,2014-03-04 02:35:22,2014-03-04 02:45:32,
150,37.766631,-122.422038,5,49,1,2014-03-04 02:26:13,2014-03-04 02:33:49,2014-03-04 02:50:11,
151,37.786446,-122.437996,5,30,1,2014-03-04 02:26:22,2014-03-04 02:34:45,2014-03-04 02:46:15,
152,37.75807,-122.44355,5,44,2,2014-03-04 02:26:55,2014-03-04 02:36:36,2014-03-04 02:47:24,
153,37.79932,-122.44443,4,61,2,2014-03-04 02:28:11,2014-03-04 02:39:56,2014-03-04 02:50:26,861
154,37.78941,-122.44448,7,111,2,2014-03-04 02:28:23,2014-03-04 02:37:11,2014-03-04 02:54:12,
155,37.79849,-122.43953,4,61,2,2014-03-04 02:29:52,2014-03-04 02:52:07,2014-03-04 02:56:40,861
156,37.75582,-122.42102,2,34,2,2014-03-04 02:29:58,2014-03-04 02:45:33,2014-03-04 02:52:06,862
157,37.79946,-122.42077,4,55,2,2014-03-04 02:30:28,2014-03-04 02:35:28,2014-03-04 02:44:03,
158,37.77621,-122.393899,1,62,1,2014-03-04 02:31:12,2014-03-04 03:03:15,2014-03-04 03:14:09,863
159,37.788046,-122.396679,6,83,1,2014-03-04 02:31:29,2014-03-04 02:49:02,2014-03-04 03:04:51,
160,37.802372,-122.426437,4,102,1,2014-03-04 02:31:35,2014-03-04 02:36:14,2014-03-04 02:41:17,
161,37.79324,-122.42458,4,59,1,2014-03-04 02:32:13,2014-03-04 02:43:16,2014-03-04 02:54:27,865
162,37.78386,-122.42438,5,33,2,2014-03-04 02:32:23,2014-03-04 02:39:34,2014-03-04 02:51:01,
163,37.76256,-122.41612,2,73,1,2014-03-04 02:32:46,2014-03-04 02:39:47,2014-03-04 02:53:58,
164,37.797896,-122.432273,4,79,1,2014-03-04 02:33:01,2014-03-04 02:41:47,2014-03-04 02:47:28,
165,37.799981,-122.444554,4,81,3,2014-03-04 02:33:27,2014-03-04 02:49:17,2014-03-04 02:58:00,
166,37.77063,-122.43087,5,54,1,2014-03-04 02:33:31,2014-03-04 02:43:01,2014-03-04 02:49:34,866
167,37.77465,-122.40296,1,46,3,2014-03-04 02:34:37,2014-03-04 02:47:12,2014-03-04 02:51:20,
168,37.791402,-122.424219,4,102,1,2014-03-04 02:34:55,2014-03-04 02:48:15,2014-03-04 02:59:28,
169,37.75107,-122.43769,2,87,1,2014-03-04 02:34:55,2014-03-04 02:39:54,2014-03-04 02:47:38,
